city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Douala,4.0500,9.7000,Cameroon,CM,Littoral,admin,5768400,5768400
Yaoundé,3.8667,11.5167,Cameroon,CM,Centre,primary,2440462,2440462
Bamenda,5.9614,10.1517,Cameroon,CM,North-West,admin,2000000,269530
Bafoussam,5.4667,10.4167,Cameroon,CM,Ouest,admin,1146000,1146000
Garoua,9.3000,13.4000,Cameroon,CM,Nord,admin,600000,600000
Maroua,10.5971,14.3157,Cameroon,CM,Extrême-Nord,admin,319941,201371
Limbe,4.0167,9.2167,Cameroon,CM,South-West,,212474,84223
Ngaoundéré,7.3167,13.5833,Cameroon,CM,Adamaoua,admin,189800,189800
Loum,4.7180,9.7300,Cameroon,CM,Littoral,,177429,177429
Kumba,4.6333,9.4500,Cameroon,CM,South-West,,144268,144268
Bibémi,9.3167,13.8833,Cameroon,CM,Nord,,133191,133191
Buea,4.1667,9.2333,Cameroon,CM,South-West,admin,131325,131325
Kumbo,6.2000,10.6600,Cameroon,CM,North-West,,125486,125486
Edéa,3.8000,10.1333,Cameroon,CM,Littoral,,122300,122300
Nkongsamba,4.9500,9.9333,Cameroon,CM,Littoral,,117063,104050
Kousséri,12.0833,15.0333,Cameroon,CM,Extrême-Nord,,101246,101246
Bogo,10.7361,14.6108,Cameroon,CM,Extrême-Nord,,95230,95230
Bafang,5.1500,10.1833,Cameroon,CM,Ouest,,93145,33324
Foumban,5.7167,10.9167,Cameroon,CM,Ouest,,92673,83522
Bertoua,4.5833,13.6833,Cameroon,CM,Est,admin,88462,88462
Ébolowa,2.9167,11.1500,Cameroon,CM,Sud,admin,87875,76885
Widekum,5.8717,9.7706,Cameroon,CM,North-West,,86822,86822
Maga,10.8500,14.9333,Cameroon,CM,Extrême-Nord,,85100,85100
Guider,9.9342,13.9486,Cameroon,CM,Nord,,84647,65165
Bafut,6.0833,10.1000,Cameroon,CM,North-West,,80305,80305
Mbalmayo,3.5167,11.5000,Cameroon,CM,Centre,,80206,60091
Meïganga,6.5300,14.3700,Cameroon,CM,Adamaoua,,80100,41314
Eséka,3.6500,10.7667,Cameroon,CM,Centre,,79500,79500
Dschang,5.4500,10.0667,Cameroon,CM,Ouest,,76524,76524
Tibati,6.4667,12.6333,Cameroon,CM,Adamaoua,,72081,72081
Melong,5.1211,9.9528,Cameroon,CM,Littoral,,71189,71189
Bafia,4.7500,11.2167,Cameroon,CM,Centre,,69270,69270
Wum,6.3833,10.0667,Cameroon,CM,North-West,,68836,26123
Sangmélima,2.9333,11.9833,Cameroon,CM,Sud,,64227,64227
Kribi,2.9350,9.9100,Cameroon,CM,Sud,,60000,60000
Foumbot,5.5000,10.6333,Cameroon,CM,Ouest,,57367,57367
Baham,5.3333,10.4000,Cameroon,CM,Ouest,,51500,51500
Mbouda,5.6333,10.2500,Cameroon,CM,Ouest,,49313,49313
Yagoua,10.3428,15.2406,Cameroon,CM,Extrême-Nord,,41957,41957
Obala,4.1667,11.5333,Cameroon,CM,Centre,,37888,37888
Bamendjou,5.4000,10.3167,Cameroon,CM,Ouest,,37547,37547
Monatélé,4.2667,11.2000,Cameroon,CM,Centre,,36933,36933
Mamfe,5.7667,9.2833,Cameroon,CM,South-West,,36500,36500
Baba I,6.0622,10.4903,Cameroon,CM,North-West,,35000,35000
Ngaoundal,6.5000,13.2667,Cameroon,CM,Adamaoua,,34971,34971
Biwong,3.1333,11.1500,Cameroon,CM,Sud,,34374,34374
Batouri,4.4333,14.3667,Cameroon,CM,Est,,33594,33594
Messaména,3.7333,12.8333,Cameroon,CM,Est,,32282,32282
Nanga Eboko,4.6708,12.3731,Cameroon,CM,Centre,,29814,29814
Mbanga,4.5092,9.5681,Cameroon,CM,Littoral,,29732,29732
Manjo,4.8500,9.8167,Cameroon,CM,Littoral,,29683,29683
Figuil,9.7667,13.9667,Cameroon,CM,Nord,,29399,29399
Pitoa,9.3833,13.5333,Cameroon,CM,Nord,,28636,28636
Lagdo,9.0500,13.7333,Cameroon,CM,Nord,,28239,28239
Nguti,5.3167,9.4167,Cameroon,CM,South-West,,27151,27151
Bamessi,6.0333,10.5792,Cameroon,CM,North-West,,26802,26802
